"","V1","V2","V3","V4"
"ni_store",0.753695460772801,5.7536954607728,10.7536954607728,15.7536954607728
"",3.67889851372836,33.2649886148858,19.4671747453522,8.42430996560735
"",22.0484305498801,77.6317792062289,25.1890090538834,15.9613255133975
"",27.8407750534715,54.2405561868285,4.70297677958022,5.0785040903366
"",44.264441346944,29.0024010298159,5.23259302876436,15.5096327495454
"",27.0183374794757,8.93557562892983,0.005,20.0381417768204
"",12.2849507641949,5.61826837867947,0.005,26.9555378824111
"",8.64673613418148,11.2256503637145,3.34293576940198,26.2783886552902
"",13.7227726557222,25.4000643959556,11.6000961923389,24.5590113229856
"",9.55583911774262,28.9360631092182,5.61797906735439,12.7788069191001
"",19.8883712653358,36.815861782732,9.29705356610773,16.4059563908814
"",16.6398632593749,22.0930033599013,0.005,9.88614956842842
"",20.656346576489,18.4789928312278,2.32183683027112,17.654278385443
"",15.1923473226117,13.2164632619994,0.850124515578258,19.6905155879511
"",12.7384981422058,14.6009941847925,2.86940723544534,21.5727717308546
"",16.8878334046713,23.2985548654858,9.58706830308668,25.126278238148
"",12.3928278959845,22.4242511977742,5.19791017923867,17.4711814051698
"",15.4333327166995,26.0104767988391,6.14430529270211,17.0814973152585
"",18.046829061503,25.6143054159721,5.92554262497693,17.5944552952683
"",15.8708562787644,19.7188099298501,2.23545003715468,15.7919005688906
"",12.0743322120042,14.3273711043373,0.005,14.3968728928771
"",14.4705610275611,17.4720451708559,3.17786588936966,19.1799709119833
"",14.9269332264709,19.8402612552359,5.17383508605393,20.4296820853028
"",17.9169330157714,24.6901106876449,8.73156704783158,22.6243463885842
"",13.8411902576039,21.4275966570327,4.15136612184475,17.0611859902471
"",14.6419158042151,21.6048025865515,3.84929813407834,16.6365160997444
"",22.3731755799643,27.9110795896542,10.6663961359062,24.0495817891851
"",13.6319129002864,18.0600438839839,1.74953547454698,15.951408428192
"",17.5021773971365,21.7432120719204,6.12531017894045,20.8431637411008
"",13.1904185150569,18.020737572958,2.52571622150701,17.199567827327
"",16.5325488979352,22.2081512944451,6.3234576498534,20.5346588937876
